,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
28829,Kiribati,KIR,2019,0.065952,0.0,0.065952,0.0,0.0,0.0,,0.530839
28830,Kiribati,KIR,2020,0.069607,0.0,0.069607,0.0,0.0,0.0,,0.550413
28831,Kiribati,KIR,2021,0.071533,0.0,0.071533,0.0,0.0,0.0,,0.555062
29098,Kosovo,KSV,2016,8.855888,6.665722,1.911817,0.0,0.278349,0.0,,5.058418
29099,Kosovo,KSV,2017,8.093776,5.602256,2.165424,0.0,0.326096,0.0,,4.673982
29100,Kosovo,KSV,2018,8.148736,5.664544,2.150768,0.0,0.333424,0.0,,4.765449
29101,Kosovo,KSV,2019,8.496816,5.944109,2.234077,0.0,0.318631,0.0,,5.037064
29102,Kosovo,KSV,2020,8.521778,6.112784,2.090225,0.0,0.318768,0.0,,5.100729
29103,Kosovo,KSV,2021,5.644358,3.216723,2.108867,0.0,0.318768,0.0,,3.396106
29370,Kuwait,KWT,2016,101.897138,0.0,56.823353,41.595222,1.397045,2.081517,,25.171689
29371,Kuwait,KWT,2017,95.937818,0.0,50.958912,42.304544,1.187488,1.486873,,23.258194
29372,Kuwait,KWT,2018,97.045441,0.0,51.788924,42.467358,1.152562,1.636596,,22.47887
29373,Kuwait,KWT,2019,104.360612,0.0,55.498608,46.265328,1.222415,1.374261,,23.49882
29374,Kuwait,KWT,2020,99.778764,0.0,53.144858,44.022322,1.222415,1.38917,,22.882707
29375,Kuwait,KWT,2021,106.134264,0.0,53.736481,49.817295,1.222415,1.358074,,24.972098
29642,Kuwaiti Oil Fires,,2016,0.0,,,,,,,0.0
29643,Kuwaiti Oil Fires,,2017,0.0,,,,,,,0.0
29644,Kuwaiti Oil Fires,,2018,0.0,,,,,,,0.0
29645,Kuwaiti Oil Fires,,2019,0.0,,,,,,,0.0
29646,Kuwaiti Oil Fires,,2020,0.0,,,,,,,0.0
29647,Kuwaiti Oil Fires,,2021,0.0,,,,,,,0.0
29914,Kyrgyzstan,KGZ,2016,9.646228,3.4808,5.11128,0.545936,0.508212,0.0,,1.602816
29915,Kyrgyzstan,KGZ,2017,9.348074,3.3892,4.792512,0.578912,0.58745,0.0,,1.527148
29916,Kyrgyzstan,KGZ,2018,11.104531,4.041392,5.668208,0.6412,0.753731,0.0,,1.784292
29917,Kyrgyzstan,KGZ,2019,9.03028,3.16936,4.459088,0.619216,0.782616,0.0,,1.428019
29918,Kyrgyzstan,KGZ,2020,8.488702,3.125244,3.927262,0.653579,0.782616,0.0,,1.321225
29919,Kyrgyzstan,KGZ,2021,9.308101,3.599533,4.234129,0.691823,0.782616,0.0,,1.425929
30186,Laos,LAO,2016,16.458121,12.014256,3.143712,0.0,1.300153,0.0,,2.388224
30187,Laos,LAO,2017,19.683847,14.971989,3.209068,0.0,1.502789,0.0,,2.812815
