location_key,date,new_deceased,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,new_confirmed,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9
US,2020-07-08,1079,0,0,0,0,0,0,0,0,0,0,64318,1044,2385,6381,4700,3940,3398,2089,1103,0,0
AE,2020-07-22,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0
AE,2020-09-10,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0
AF,2020-09-06,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
AF,2020-11-30,21,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0
AG,2020-11-14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AG,2020-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI,2020-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI,2020-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2020-08-28,4,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
AM,2020-08-13,3,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0
AN,2020-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AO,2020-10-21,5,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0
AO,2020-08-12,3,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
AO,2020-07-23,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
AO,2020-10-23,2,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0
AS,2020-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS,2020-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,2020-08-13,3,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0
AU,2020-12-19,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
AU,2020-08-19,12,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0
AW,2020-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2020-08-27,2,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0
BA,2020-10-20,14,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0
BA,2020-12-08,70,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0
BA,2020-11-07,20,0,0,0,0,0,0,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0
BA,2020-12-15,54,0,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0
BB,2020-07-24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BB,2020-11-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BB,2020-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,2020-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,2020-08-31,35,0,0,0,0,0,0,0,0,0,0,2582,0,0,0,0,0,0,0,0,0,0
BD,2020-09-12,26,0,0,0,0,0,0,0,0,0,0,1812,0,0,0,0,0,0,0,0,0,0
BD,2020-11-05,13,0,0,0,0,0,0,0,0,0,0,1289,0,0,0,0,0,0,0,0,0,0
BE,2020-10-19,53,0,0,0,0,0,0,0,0,0,0,15824,0,0,0,0,0,0,0,0,0,0
BH,2020-12-03,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0
BI,2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,2020-09-03,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BN,2020-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2020-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2020-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2020-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2020-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT,2020-08-26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BV,2020-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV,2020-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
