date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2021-08-30,HU,25,29,88,0,-20,4
2022-07-18,HU,19,30,135,-2,-22,4
2021-06-05,ID,1,27,2,-13,-11,4
2022-08-29,IT,4,22,116,-12,-24,4
2020-09-07,JO,-5,12,-6,-51,-12,4
2022-07-18,JO,32,62,32,21,5,4
2021-12-25,JP,0,13,-25,-15,-6,4
2020-10-01,JP,-9,1,-3,-18,-8,4
2021-12-10,JP,-2,7,-6,-14,-5,4
2021-02-01,KH,-10,-5,-16,-41,-12,4
2020-07-23,KR,-19,-13,-21,-18,-2,4
2021-10-11,KW,-16,-5,-24,0,-19,4
2020-10-13,LA,-11,-4,-24,-26,-11,4
2020-11-01,LA,-6,-1,-32,-27,-12,4
2022-09-08,LU,-6,17,76,2,-24,4
2021-11-24,MA,13,84,-9,6,7,4
2020-12-28,ML,3,-8,30,6,-14,4
2022-08-25,MT,37,32,100,33,-5,4
2022-07-08,MU,18,26,6,-5,37,4
2022-09-02,NI,46,73,46,43,51,4
2022-07-27,NL,7,10,155,-27,-37,4
2021-12-02,PL,-1,23,7,-12,-5,4
2022-05-26,PT,15,40,74,10,-7,4
2021-11-18,PY,-2,14,-18,-25,12,4
2020-10-10,QA,-9,17,-2,-11,4,4
2022-08-15,RU,-4,10,91,5,-27,4
2020-10-03,RW,3,-7,-8,-16,-12,4
2022-02-06,SA,22,45,11,-4,15,4
2022-01-10,SA,24,47,37,0,-2,4
2021-01-13,SA,-16,-6,-10,-34,-26,4
2020-08-07,SE,-9,-5,360,-24,-50,4
2021-02-14,SE,-21,-4,72,-40,-4,4
2022-04-07,SE,-11,1,-5,-32,-15,4
2021-05-04,SI,-14,6,66,-9,-12,4
2020-11-27,SN,-19,9,-21,-21,-12,4
2021-03-11,SV,-14,4,-26,-6,-23,4
2022-08-13,SV,34,49,6,36,33,4
2020-11-13,TJ,-13,-13,-30,-24,-2,4
2022-01-27,TT,3,41,-7,-16,-19,4
2022-03-07,TT,4,47,11,-5,-10,4
2021-07-10,TZ,23,39,32,25,3,4
2021-08-07,TZ,24,40,39,24,0,4
2021-08-25,TZ,36,56,49,33,0,4
2020-09-28,YE,25,25,40,10,3,4
2020-12-24,YE,36,46,49,29,17,4
2021-03-03,AR,-31,1,-45,-24,-9,4
2021-11-10,CO,7,35,3,24,10,4
2022-08-29,CZ,4,28,75,9,-12,4
2021-06-14,FI,8,17,194,-30,-37,4
2022-04-29,FR,-8,19,68,-3,-20,4
2021-09-03,FR,-5,22,82,2,-24,4
2021-06-25,FR,-9,12,71,-6,-19,4
2020-11-25,NZ,0,-3,-23,-31,0,4
2021-02-17,RO,-26,2,-35,-31,-27,4
2021-02-16,RO,-27,1,-37,-33,-29,4
2021-12-26,US,-13,-10,-8,-19,-20,4
2021-12-06,AE,19,46,3,10,-1,4
2021-06-20,AU,-4,7,-18,-41,-9,4
2021-03-19,BB,-33,-19,0,-55,-36,4
2022-07-08,BB,22,19,44,-8,4,4
2021-10-27,BR,-5,35,-6,3,19,4
2022-04-23,BR,-3,39,14,-4,18,4
2020-12-02,BY,-25,-3,-32,-14,-15,4
2020-08-12,CI,11,18,16,16,-9,4
2022-02-08,CO,12,47,13,35,17,4
2022-05-17,CO,8,42,14,37,41,4
2021-02-17,CR,-27,-8,-40,-35,-22,4
2020-07-09,DK,19,3,288,-16,-40,4
2022-08-21,EC,48,61,46,50,45,4
2022-05-22,EG,7,99,61,48,28,4
2022-07-24,EG,5,87,70,49,15,4
2021-02-11,HN,-33,-7,-28,-35,-30,4
2021-04-09,HR,-18,18,56,-29,-28,4
2022-02-28,HU,0,18,5,-11,-6,4
2022-02-09,HU,5,22,33,-8,-10,4
2021-05-12,HU,-4,21,32,-12,-18,4
2020-07-27,HU,6,3,112,-18,-32,4
2021-03-27,ID,-17,3,-20,-27,-17,4
2021-05-10,IL,-10,12,14,-14,-13,4
2022-05-10,JO,19,49,18,10,17,4
2021-12-24,JO,11,50,-1,-22,5,4
2020-12-20,JP,-8,2,-22,-26,-6,4
2020-11-11,JP,-6,0,1,-17,-8,4
2020-12-13,JP,-8,1,-10,-24,-7,4
2021-11-10,KW,-14,-6,-17,-4,-16,4
2020-12-19,KZ,-32,-13,-20,25,-20,4
2020-10-26,KZ,-19,-1,-11,31,-23,4
2021-07-22,LU,-4,9,109,-6,-30,4
2021-09-05,MA,7,69,24,4,-3,4
2022-03-09,MT,1,16,6,-5,-3,4
2022-05-18,NI,32,52,39,41,43,4
2022-03-09,NI,30,46,34,38,35,4
2022-04-05,NI,37,59,41,41,43,4
2021-11-19,NO,6,4,3,-19,-17,4
2021-04-12,PR,-13,-4,-28,-23,-15,4
2022-02-06,PT,-6,19,13,-14,2,4
2022-08-05,PT,30,61,151,15,-20,4
2021-09-28,PT,7,36,29,-9,-17,4
2021-10-04,PT,17,43,50,-10,-30,4
2022-06-05,QA,12,43,6,24,16,4
2022-09-03,QA,10,46,-12,4,24,4
2022-01-30,RU,-23,-7,-14,-16,-13,4
2021-01-14,RU,-29,-17,-25,-22,-22,4
2021-09-28,SA,12,39,1,-23,-1,4
2021-12-07,SA,17,39,10,-2,5,4
2021-11-12,SA,15,37,12,-13,0,4
2021-05-06,SK,-11,22,27,-20,-18,4
2021-08-06,SK,10,26,142,-11,-32,4
2020-11-17,SN,-20,10,-18,-20,-18,4
2022-02-22,TJ,-7,5,-6,-27,1,4
2022-08-27,TT,31,63,32,28,17,4
2021-02-28,TZ,-6,-10,-12,-5,-21,4
2022-01-03,UY,-7,12,2,2,-17,4
2022-06-01,UY,-22,3,-48,1,33,4
2020-07-04,YE,-1,13,-3,6,-3,4
2020-12-09,ZM,9,16,19,0,-6,4
2020-10-13,ZM,-1,7,4,-10,-7,4
2021-09-30,AR,-17,14,-41,-12,23,4
2021-09-27,DE,-3,11,70,-12,-14,4
2021-09-03,FI,5,15,117,-24,-18,4
2022-04-22,FI,-5,2,80,-24,-24,4
2020-10-29,FR,9,28,37,-13,-33,4
2022-03-31,FR,-18,15,15,-8,-10,4
2022-03-30,MX,7,37,3,5,18,4
2021-06-28,NZ,3,7,-30,-27,20,4
2020-10-07,NZ,2,-3,-4,-31,-12,4
2022-01-20,RO,-18,10,-23,-27,-16,4
2021-01-03,RO,-37,-16,-13,-37,-19,4
2020-10-20,RO,-22,1,-17,-24,-26,4
2021-09-10,US,-8,0,34,-20,-25,4
2021-08-28,AE,-4,22,-41,-26,-5,4
2021-10-05,AE,6,34,-22,-9,-8,4
2020-07-10,AF,-7,15,3,-16,2,4
2020-12-21,AF,40,74,23,3,3,4
2020-12-01,AO,1,18,31,-1,-10,4
2021-12-20,AT,-3,24,11,-20,-17,4
2021-05-20,AT,-22,15,17,-19,-16,4
2022-04-04,BB,9,11,60,-10,-1,4
2021-02-12,BD,10,39,16,23,14,4
2022-03-03,BD,58,93,85,82,62,4
2022-01-15,BD,51,86,60,82,58,4
2022-03-30,BE,-4,21,25,-18,-13,4
2021-12-02,BO,16,26,7,7,9,4
2021-08-15,BO,-1,11,6,-4,9,4
2021-09-17,BR,-5,41,-10,2,16,4
2021-02-08,BW,-2,14,30,12,-16,4
2021-11-28,CA,1,2,6,-36,-6,4
2022-06-23,CA,12,20,121,-29,-23,4
2020-10-19,CM,-6,10,-17,24,-11,4
2022-08-30,CO,21,57,27,56,47,4
2021-06-28,CR,-23,-1,-43,-29,-24,4
2022-03-04,CR,-1,17,-14,-16,11,4
2021-03-12,DO,-28,-1,-34,-21,-26,4
2021-04-09,DO,-23,4,-30,-19,-23,4
2022-07-04,EG,22,115,75,51,28,4
2022-08-30,EG,23,115,95,66,27,4
2022-07-25,FI,6,15,309,-24,-53,4
2021-11-26,FJ,26,37,-3,-17,8,4
2021-02-06,HN,-39,-16,-30,-38,-23,4
2022-01-15,HT,26,22,10,15,-1,4
2021-07-28,IL,3,13,48,-12,-25,4
2022-02-23,IT,-9,16,30,-19,-10,4
2021-08-24,IT,9,20,171,-18,-37,4
2021-02-02,KH,-9,-4,-15,-40,-12,4
2021-02-19,KH,-5,-2,-13,-39,-9,4
2021-02-24,KR,-3,16,28,-8,-7,4
2022-03-24,LB,-4,38,-3,16,-10,4
2021-03-06,LT,-51,15,14,-41,0,4
2021-03-01,MA,-19,41,-30,-15,-8,4
2020-12-20,MX,-21,7,-30,-13,10,4
2020-10-17,MZ,-17,-1,-29,-19,-10,4
2020-11-15,MZ,-21,-15,-27,-28,-23,4
2021-06-09,NL,4,17,166,-29,-20,4
2022-03-09,NO,-9,-3,17,-27,-18,4
2021-02-05,NP,-17,12,0,5,-4,4
2020-09-26,PK,-10,9,8,3,-4,4
2022-03-16,PK,63,84,88,83,56,4
2021-11-28,PT,-8,18,-25,-12,-2,4
2021-01-19,RS,-21,5,-13,-25,-22,4
2022-08-17,RU,-4,9,94,4,-26,4
2022-01-15,SA,11,36,5,-5,17,4
2021-12-27,SA,22,49,9,-3,9,4
2022-01-12,SA,21,45,34,-1,-2,4
2022-02-02,SA,29,54,26,3,4,4
2020-10-01,SK,-15,1,2,-14,-12,4
2021-01-10,SV,-18,-10,-22,-13,-5,4
2021-04-16,TG,6,49,52,8,1,4
2022-02-25,TR,-3,53,6,15,16,4
2022-04-17,TR,-11,40,22,10,14,4
2022-04-15,TR,5,68,63,26,5,4
2021-04-30,TT,-34,30,-26,-41,-30,4
2022-04-10,UY,-4,8,-14,-8,-2,4
2021-10-17,VN,-33,-5,-23,-50,-41,4
2020-07-10,YE,-1,13,-1,5,3,4
2021-12-26,ZM,44,58,49,-10,-3,4
2021-03-11,AR,-30,2,-48,-21,-7,4
2021-11-10,CZ,-5,25,2,-2,-9,4
2022-05-31,FI,-2,9,88,-23,-24,4
2021-09-15,FI,4,15,126,-21,-19,4
2021-10-29,FI,-1,4,63,-28,-27,4
2021-07-06,FI,15,25,321,-29,-49,4
2021-05-01,FI,-40,-18,100,-42,-16,4
2021-12-11,NZ,15,21,-5,-44,7,4
2022-04-18,RO,-8,13,7,-22,-28,4
2021-03-23,RO,-29,1,-34,-33,-26,4
2021-06-05,TH,-11,18,-42,-49,4,4
2021-10-25,TW,-15,9,-27,-19,-2,4
2022-04-25,US,-10,-3,16,-24,-20,4
2021-09-30,AE,7,32,-25,-9,-7,4
2020-11-23,AG,-13,-6,65,-37,-24,4
2021-02-22,AU,-12,-1,-20,-36,-7,4
2022-09-06,AU,-6,7,-24,-29,-3,4
2021-03-20,BD,15,45,23,34,22,4
2022-03-23,BG,-22,15,18,17,-11,4
2022-09-09,BO,36,44,30,26,61,4
2021-09-19,BR,-8,36,-4,-6,12,4
2021-01-08,BS,-30,-15,-5,-38,-23,4
2021-01-28,CI,0,44,-10,11,-10,4
2021-10-09,CR,-16,6,-30,-25,-2,4
2021-05-13,DO,-17,7,-25,-5,-21,4
2021-01-16,FJ,-4,-7,-18,-32,-19,4
2020-12-01,GA,-6,-5,20,19,-9,4
2021-05-01,GT,-13,10,-18,-22,-26,4
2020-08-03,HT,-10,-13,-11,-17,-30,4
2021-01-25,HT,-23,-29,-32,-7,-31,4
2022-02-25,HU,3,19,18,-9,-8,4
2021-07-06,IL,-2,13,28,-13,-20,4
2020-08-24,IT,-1,-1,127,-26,-38,4
2020-09-24,IT,-10,0,29,-17,-23,4
2022-03-08,IT,-8,16,8,-25,-10,4
2022-03-18,JO,9,45,23,-9,12,4
2022-01-11,JO,10,41,9,-18,2,4
2022-09-06,JO,27,59,27,13,17,4
2021-10-22,MA,11,96,0,7,2,4
2021-09-20,MA,11,82,9,7,-14,4
2022-01-29,MT,-1,21,-6,-16,2,4
2021-06-10,MT,13,18,38,3,-10,4
2021-02-27,MX,-25,7,-36,-25,-1,4
2020-10-09,MZ,-15,5,-24,-21,-6,4
2021-01-09,NA,-21,-7,-20,-40,-12,4
2020-10-08,NA,-17,-7,-17,-32,-9,4
2021-09-13,NI,16,52,-3,4,-24,4
2021-02-28,NL,-45,-3,79,-38,-1,4
2022-03-23,OM,3,24,-2,-33,4,4
2021-03-01,PA,-21,9,-39,-27,-26,4
2022-01-07,PK,27,48,12,33,18,4
2021-05-05,PR,-6,-4,-31,-20,-20,4
2022-06-28,QA,10,32,-7,26,11,4
2020-10-28,RU,-14,-1,-3,-8,-21,4
2021-09-20,SA,9,30,4,-26,-3,4
2022-03-16,SE,-12,-3,22,-32,-17,4
2020-10-13,SI,-11,-7,15,-1,-12,4
2020-10-07,SK,-13,2,18,-16,-13,4
2021-11-13,SK,-15,16,4,-14,-2,4
2022-01-15,SK,-16,12,24,-11,2,4
2021-01-26,TJ,-15,-12,-29,-26,-8,4
2020-11-29,UA,-49,-13,-20,-28,-26,4
2022-05-31,UY,-27,-6,-48,-3,34,4
2020-11-01,ZW,9,24,29,6,17,4
2021-10-06,AE,7,34,-23,-9,-6,4
2021-10-15,AE,6,31,-18,-2,-4,4
2022-07-06,AF,121,231,157,10,33,4
2021-03-03,AG,-28,-11,39,-53,-44,4
2022-05-06,AU,-2,12,-23,-33,-5,4
2022-03-08,BE,-3,21,33,-18,-15,4
2022-03-22,BE,-4,21,64,-15,-13,4
2021-08-25,BE,15,11,142,-16,-31,4
2021-09-25,BH,-8,6,-29,4,-3,4
2021-10-24,BH,-5,3,-21,1,-2,4
2021-10-14,BH,-1,9,-23,8,1,4
2022-01-29,BJ,21,115,111,13,32,4
2022-08-04,BS,4,7,38,23,-15,4
2022-07-24,BZ,35,56,86,10,5,4
2022-07-08,CA,-2,3,137,-32,-32,4
2021-11-27,CA,1,5,0,-34,-3,4
2021-12-18,CL,15,30,-14,26,22,4
2020-07-11,CM,-5,-3,-18,8,-2,4
2020-07-12,CM,-4,-4,-15,4,2,4
2021-03-24,CR,-27,-9,-40,-32,-18,4
2022-02-12,CR,0,19,-12,-16,11,4
2021-05-27,CV,-20,-7,7,-47,-25,4
2022-05-23,EG,10,96,59,44,32,4
2021-11-22,GT,7,27,-1,-4,-7,4
2020-12-12,GT,-13,3,-13,-16,-4,4
2021-12-27,HT,36,39,13,28,-32,4
2020-07-29,HU,2,1,122,-17,-32,4
2021-08-31,HU,23,32,73,1,-20,4
2022-07-10,IL,-1,15,32,-15,-25,4
2022-04-20,IT,-11,19,37,-13,-10,4
2021-11-20,JO,8,41,-1,-7,-3,4
2022-04-16,JP,-6,5,-7,-17,-9,4
2020-10-06,JP,-6,1,7,-16,-9,4
2022-04-18,KG,-20,-10,10,-18,-5,4
2021-07-10,KR,-1,27,24,-9,-6,4
2022-08-02,KR,14,21,44,-9,-18,4
2020-12-23,KZ,-20,-3,-18,31,-24,4
2020-11-29,LA,-9,1,-23,-33,-11,4
2021-03-27,LK,-7,12,-11,-10,-15,4
2021-05-26,LT,-19,41,70,-16,-19,4
2020-10-18,LU,-25,-13,36,-16,-8,4
2020-07-24,MD,-8,-3,21,-21,-26,4
2020-07-30,ML,8,18,-4,-16,-27,4
2022-06-17,MU,13,19,7,-6,39,4
2020-09-09,MU,-9,-12,-23,-25,-7,4
2022-06-06,MU,22,23,10,-14,20,4
2020-12-16,NI,1,23,-6,9,-7,4
2020-12-13,OM,-26,-16,-28,-29,-21,4
2021-03-14,PA,-41,-29,-45,-43,-18,4
2020-10-15,PK,-2,19,7,6,-6,4
2022-08-25,PL,18,37,189,14,-9,4
2022-04-11,PR,1,8,3,-15,3,4
2022-06-03,QA,12,36,-12,5,17,4
2021-10-10,SA,16,39,5,-20,2,4
2021-10-01,SA,15,41,-1,-21,4,4
2020-10-07,SE,-9,-3,43,-27,-18,4
2020-08-19,SK,7,4,98,-16,-29,4
2021-01-03,SN,-19,9,-3,-10,-9,4
2022-03-18,SV,24,44,11,41,23,4
2021-01-16,TJ,-18,-19,-34,-33,-22,4
2022-06-26,TT,19,53,-1,0,16,4
2020-10-17,TZ,-12,18,-8,0,-16,4
2020-11-09,UY,-22,-8,-45,-20,10,4
2021-05-05,ZM,33,48,8,21,-3,4
2021-05-18,ZM,25,38,13,12,2,4
2021-05-07,ES,-23,10,18,-16,-13,4
2022-02-02,ES,-13,12,15,-13,-16,4
2022-02-23,FR,-15,9,41,-10,-18,4
2020-09-07,NZ,-13,-10,-19,-35,7,4
2020-07-07,RO,-14,-3,-5,-25,-31,4
2020-08-01,US,-17,0,69,-20,-14,4
2021-09-17,US,-7,-1,29,-19,-27,4
2020-10-07,DE,-6,1,43,-16,-16,4
2021-07-05,DE,0,16,91,-16,-18,4
2021-08-27,AR,-12,21,-32,-8,17,4
2020-09-01,CZ,9,19,20,-1,-21,4
2022-07-07,CZ,-6,26,67,-7,-32,4
2021-11-29,FR,-7,16,6,-8,-14,4
2020-09-24,FR,-20,-4,22,-14,-19,4
2021-08-09,NZ,4,7,-29,-22,23,4
2022-02-14,NZ,11,21,0,-37,5,4
2021-06-22,NZ,7,10,-14,-25,8,4
2021-06-14,TH,-11,14,-35,-48,-15,4
2021-02-28,US,-16,-10,-9,-29,-13,4
2021-11-08,AE,14,40,-5,4,-3,4
2021-04-18,AF,36,89,8,-2,3,4
2022-09-04,AR,12,33,7,15,17,4
2022-02-19,AT,-15,1,0,-21,-4,4
2022-02-05,AU,-4,7,-3,-41,-2,4
2021-03-21,BH,-10,-1,-25,-12,-15,4
2021-04-12,BH,-8,12,-24,-1,-17,4
2022-06-01,BH,3,11,-17,21,4,4
2020-10-20,BJ,-9,33,7,-3,-5,4
2022-04-03,BR,-4,48,-11,-9,21,4
2020-12-03,BY,-27,-6,-28,-17,-16,4
2021-10-20,BZ,-1,15,17,-25,-29,4
2022-05-05,BZ,40,55,106,6,3,4
2021-05-16,CA,-15,7,164,-45,-13,4
2021-06-18,DO,-19,11,-21,-1,-25,4
2021-03-02,DO,-27,2,-34,-19,-27,4
2020-09-25,EG,-15,35,26,-10,-9,4
2022-02-21,HT,32,33,12,31,11,4
2021-01-16,HT,-29,-35,-43,-23,-42,4
2021-12-28,HT,33,38,12,22,-30,4
2022-08-30,HU,22,31,121,2,-13,4
2021-04-01,ID,-9,16,-12,-15,-25,4
2021-04-05,ID,-10,12,-10,-22,-25,4
2021-05-15,ID,-7,18,24,-35,-51,4
2020-10-23,IQ,1,38,10,-2,-2,4
2020-12-17,IQ,2,39,4,8,-6,4
2021-11-21,KE,41,50,34,58,27,4
2021-11-14,KE,39,51,33,59,29,4
2021-02-09,KH,-7,1,-8,-36,-13,4
2020-12-02,KZ,-26,-9,-28,25,-24,4
2022-03-13,KZ,-18,3,-1,58,7,4
2020-10-16,LB,-22,28,6,-12,-28,4
2022-02-22,LT,-23,37,3,-15,-4,4
2020-10-03,LU,-11,5,7,-13,-4,4
2021-10-28,LU,-3,15,26,-6,-16,4
2021-05-30,MA,0,61,5,-3,-7,4
2021-04-10,MA,-15,48,-16,-12,-4,4
2021-11-23,MA,8,75,-15,3,7,4
2020-08-01,NA,1,13,-6,-47,-6,4
2022-05-31,NI,34,65,32,48,41,4
2022-03-17,NO,-4,2,4,-28,-14,4
2022-02-06,NO,-19,-8,-16,-32,-8,4
2022-04-21,NP,55,114,152,88,45,4
2021-11-04,NP,38,126,82,60,-32,4
2022-06-26,NZ,8,7,-18,-30,-9,4
2020-09-24,PK,-9,6,7,-1,-13,4
2021-12-14,PL,0,25,9,-10,0,4
2021-11-09,SA,14,36,14,-9,3,4
2022-05-29,SG,-5,0,-7,-14,4,4
2021-10-29,SI,-1,19,57,-16,-27,4
2020-08-04,SK,4,4,151,-16,-32,4
2021-04-11,SK,-45,-1,34,-36,-7,4
2022-01-17,TH,-3,15,-24,-37,-11,4
2021-10-18,TH,-1,24,-29,-43,-21,4
2020-11-18,TJ,-14,-7,-31,-26,1,4
2022-02-05,TR,2,48,4,20,6,4
2022-04-14,TT,30,77,35,3,-14,4
2021-01-06,UA,-14,12,10,-13,-42,4
2021-07-02,VN,-36,-9,-29,-46,-22,4
2022-02-23,CZ,-6,17,9,-4,-9,4
2021-09-28,DE,-1,14,88,-10,-14,4
2021-07-27,FI,13,22,395,-29,-52,4
2021-12-14,FR,-1,23,11,-7,-11,4
2020-09-06,NZ,-3,-6,-29,-47,-14,4
2022-03-14,RO,-18,7,-3,-24,-12,4
2021-03-24,RO,-29,3,-37,-32,-26,4
2022-05-05,TW,-28,-3,-35,-37,-2,4
2022-09-05,TW,-18,4,-25,-22,-4,4
2021-11-04,AT,-16,10,-11,-16,-15,4
2021-08-24,AT,0,13,94,-14,-29,4
2022-05-05,AU,-5,8,-16,-34,-7,4
2022-08-23,AW,35,26,91,-18,1,4
2022-06-15,AW,18,14,50,-18,-1,4
2022-02-20,BD,55,87,74,81,53,4
2021-11-15,BG,-27,13,-7,3,-28,4
2021-05-03,BG,-21,-5,81,-31,-74,4
2020-10-11,BJ,-11,24,0,-7,-10,4
2021-09-23,BR,-8,39,-5,0,17,4
2021-02-21,BW,3,45,15,2,-13,4
2022-05-24,CA,4,18,94,-36,-22,4
2022-09-06,CA,9,29,94,-21,-27,4
2022-01-10,CR,-4,16,-16,-16,-4,4
2021-09-07,CR,-18,3,-38,-26,-11,4
2021-02-23,CR,-27,-10,-41,-36,-22,4
2020-12-26,EG,-18,37,3,-2,-1,4
2022-05-13,GB,-10,8,42,-25,-23,4
2022-06-14,GB,-9,9,60,-22,-23,4
2022-08-22,HR,62,88,549,59,-12,4
2020-10-29,HR,-17,1,16,-26,-18,4
2022-02-17,HU,4,20,12,-10,-9,4
2022-06-28,IL,-2,12,24,-16,-21,4
2021-09-21,JM,-11,-1,-9,-12,-30,4
2020-10-08,JO,3,50,8,-35,-10,4
2021-12-08,JO,6,39,0,-6,9,4
2022-01-04,JO,11,43,2,-11,2,4
2021-11-02,JP,1,8,6,-14,-7,4
2020-09-17,JP,-10,-3,0,-19,-11,4
2022-04-24,JP,-11,-1,-21,-20,-7,4
2022-07-31,JP,-11,5,-10,-19,-7,4
2021-09-30,KW,-15,-5,-20,-6,-20,4
2020-11-30,KZ,-21,-4,-26,25,-24,4
2020-10-29,LA,-16,-10,-35,-30,-9,4
2021-01-30,LA,-17,-3,-33,-36,-14,4
2022-01-10,LT,-21,41,20,-15,-4,4
2021-11-07,LV,-45,-3,16,-39,-20,4
2021-03-29,MA,-20,41,-26,-15,-7,4
2021-05-19,MN,20,94,41,46,14,4
2022-06-10,MU,13,18,2,-6,39,4
2021-03-20,MX,-23,6,-32,-21,2,4
2022-03-18,NA,38,63,37,55,37,4
2020-12-13,NI,2,17,2,0,-2,4
2022-05-11,NI,31,49,37,37,43,4
2022-02-12,NO,-7,-1,-12,-33,-8,4
2022-05-28,NZ,15,9,14,-30,0,4
2022-03-25,OM,8,23,3,-38,-2,4
2022-01-14,PL,-12,17,-8,-17,2,4
2021-11-17,PY,-4,15,-24,-27,12,4
2022-06-02,QA,14,40,2,23,16,4
2020-11-23,QA,-7,15,-5,-7,-2,4
2020-11-22,RS,-37,-10,-22,-30,-20,4
2022-08-24,RU,-5,9,91,4,-26,4
2021-10-18,SA,11,32,18,-11,-8,4
2021-09-29,SE,-3,2,47,-30,-23,4
2020-09-02,SE,-5,-2,103,-24,-27,4
2022-02-26,TH,-2,22,-29,-31,9,4
2021-10-22,TJ,-16,-3,-30,-28,-16,4
2021-12-04,TR,-4,41,-7,9,4,4
2021-09-17,TZ,31,43,35,29,-2,4
2021-09-22,TZ,35,44,36,29,2,4
2022-05-26,UY,-25,-6,-45,1,31,4
2021-11-27,VE,40,73,28,-2,33,4
2020-10-31,YE,24,38,0,14,3,4
2021-08-04,ZW,32,58,45,28,7,4
2021-08-20,AR,-11,26,-32,-7,16,4
2021-08-04,CZ,11,26,124,-2,-31,4
2021-08-26,CZ,5,26,51,-5,-22,4
2022-02-28,CZ,-13,15,-6,-7,-9,4
2020-11-01,DE,-27,-1,4,-28,-6,4
2022-05-11,FI,-7,3,78,-24,-23,4
2021-08-05,FI,12,19,272,-27,-43,4
2020-07-29,FR,-7,4,174,-19,-34,4
2022-01-17,NZ,7,20,13,-35,1,4
2021-08-05,NZ,8,12,-27,-25,12,4
2020-10-08,NZ,3,-3,-11,-30,-8,4
2022-01-16,NZ,5,13,8,-41,-4,4
2022-05-16,US,-9,-1,28,-23,-21,4
2022-03-12,AE,28,46,39,35,7,4
2021-04-24,AF,19,33,7,-6,5,4
2022-07-22,AR,14,39,-9,6,16,4
2021-11-05,AT,-14,13,0,-16,-15,4
2020-10-23,AT,-24,-6,-1,-21,-18,4
2021-05-18,AU,-8,7,-24,-26,-3,4
2020-11-22,AW,-18,-7,12,-56,-13,4
2021-02-18,BD,12,40,14,30,11,4
2022-02-14,BD,72,101,85,84,50,4
2020-09-14,BF,27,27,52,17,-2,4
2022-03-21,BG,-27,12,4,13,-11,4
2022-03-15,BG,-24,15,16,17,-11,4
2022-06-06,BH,1,13,-16,18,5,4
2021-01-26,BJ,-9,40,21,-15,-10,4
2022-08-30,BR,-3,48,-1,8,41,4
2021-08-19,BW,7,51,22,4,-14,4
2022-04-01,BY,-26,0,-12,-15,-19,4
2022-05-10,BZ,47,53,102,10,3,4
2022-08-21,BZ,49,67,119,5,14,4
2022-05-30,CA,5,11,101,-35,-21,4
2021-12-05,CA,0,3,8,-36,-6,4
2021-04-27,CI,3,60,-3,18,-1,4
2021-10-02,CI,33,95,24,41,8,4
2021-04-25,CI,3,61,-7,13,-5,4
2021-01-10,CM,-5,10,-5,38,-8,4
2022-07-15,CO,20,48,24,32,37,4
2021-06-14,DK,12,8,134,-22,-16,4
2022-05-15,DO,2,35,11,14,-1,4
2022-05-12,EG,9,97,52,40,34,4
2022-01-26,EG,-11,64,-2,12,10,4
2020-12-17,GA,0,2,53,25,-9,4
2020-12-04,GA,-3,-2,32,11,-4,4
2022-03-09,GR,-22,34,6,-18,-9,4
2021-05-07,HR,-19,19,29,-26,-17,4
2021-11-08,HU,6,23,15,-7,-11,4
2021-05-09,IL,-12,8,14,-15,-12,4
2022-08-14,IL,1,15,38,-15,-26,4
2021-07-25,IL,0,10,40,-14,-25,4
2020-07-01,IT,-9,-5,55,-28,-26,4
2020-09-30,JO,-7,26,7,-41,-12,4
2020-10-14,JP,-8,-1,8,-16,-9,4
2021-12-13,JP,-5,3,-13,-15,-4,4
2022-05-31,JP,-7,2,-18,-14,-4,4
2021-07-31,KE,29,54,15,55,22,4
2022-08-05,KR,4,19,34,-13,-11,4
2021-12-16,KW,-14,-7,-19,-5,-11,4
2021-11-07,KW,-16,-8,-27,-7,-15,4
2020-12-24,KZ,-16,1,-13,35,-24,4
2020-09-09,LA,-12,-7,-9,-21,-7,4
2021-01-31,LA,-15,0,-32,-29,-17,4
2021-07-29,LA,-15,2,-31,-42,-23,4
2020-08-16,LK,-7,0,1,-3,-6,4
2021-09-02,LU,-8,4,80,-9,-35,4
2022-08-25,MD,21,23,36,22,-26,4
2022-01-22,MN,67,161,31,81,54,4
2021-09-19,MZ,-5,13,-16,-18,-26,4
2022-05-28,NI,49,75,41,42,33,4
2022-05-04,NI,34,53,33,40,41,4
2020-07-02,NO,16,14,135,-21,-39,4
2022-02-06,NP,42,97,89,60,18,4
2021-01-06,OM,-24,-14,-32,-22,-21,4
2020-08-03,PL,5,4,115,-21,-33,4
2021-06-09,PR,-8,-9,-21,-16,-19,4
2021-08-05,PR,-7,-6,-12,-14,-17,4
2021-09-17,PT,5,38,46,-9,-22,4
2021-10-24,PY,0,18,-3,-26,-3,4
2022-05-26,QA,12,35,2,23,16,4
2021-10-06,SA,12,36,1,-19,0,4
2022-01-03,SA,21,47,12,-3,9,4
2022-03-15,SE,-13,-2,31,-30,-17,4
2020-07-16,SK,3,6,89,-17,-27,4
2022-01-08,TG,41,54,127,5,22,4
2021-10-12,TH,-1,24,-28,-44,-21,4
2020-10-10,TJ,-10,-8,-29,-29,-2,4
2021-04-27,TZ,8,15,-6,9,-8,4
