date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2022-08-07,BG,11,25,148,53,1,-8
2020-08-02,BG,10,-1,143,3,2,-10
2022-05-17,BJ,63,152,280,10,64,21
2022-07-23,BJ,67,171,303,23,67,20
2022-07-07,BJ,67,172,310,19,52,22
2021-03-20,BS,-26,-12,9,-44,-24,-11
2021-10-10,BS,-14,-6,5,-32,-23,-9
2021-03-17,BS,-28,-18,8,-35,-20,-9
2021-11-27,BW,75,118,68,91,14,-10
2021-07-09,BY,-10,19,71,2,-35,-9
2021-12-31,CA,-22,18,20,-59,-65,21
2020-07-25,CL,-63,-38,-68,-59,-30,23
2022-08-20,CM,49,80,108,82,32,25
2022-07-22,CM,42,77,94,82,29,21
2022-08-17,CV,38,39,84,21,-20,24
2021-01-13,CV,-47,-42,-24,-63,-72,21
2022-09-03,CV,22,28,41,15,-21,20
2020-07-30,EC,-34,-17,-36,-46,-42,22
2021-11-04,FJ,-17,-10,15,-66,-73,24
2021-07-30,GA,25,30,108,27,-9,-11
2021-10-28,GA,25,22,123,16,-3,-12
2022-04-09,GA,30,17,131,23,17,23
2021-06-27,GA,11,24,80,9,-16,-12
2022-03-24,GH,51,80,51,41,32,20
2020-07-14,GT,-44,-29,-40,-62,-44,23
2020-07-12,GT,-90,-91,-80,-91,-64,28
2020-07-04,HN,-79,-68,-63,-80,-53,25
2021-10-18,HT,-40,-46,-18,-50,-65,21
2021-01-11,IL,-55,-12,-26,-49,-42,21
2021-08-13,JP,-10,6,-31,-41,-55,21
2021-06-26,KG,-22,-9,-6,-10,-30,-8
2022-08-21,LA,0,22,13,-12,23,24
2021-10-19,LB,4,51,-2,-5,-21,-8
2021-10-03,LB,-8,31,19,-5,-16,-10
2021-09-25,LK,-38,-9,-25,-47,-31,22
2021-06-17,LK,-59,-42,-37,-61,-53,33
2021-07-13,LY,108,152,157,44,16,-10
2021-05-27,MD,2,14,10,-8,-15,-10
2021-10-24,MD,-4,6,-6,-15,-20,-10
2021-09-02,MD,18,24,19,6,-33,-10
2021-11-28,MD,-1,5,-8,-13,-20,-8
2022-06-04,ML,87,95,265,78,70,21
2022-07-10,ML,64,28,244,43,21,26
2021-05-30,ML,21,9,58,8,-10,-10
2021-06-21,ML,30,23,70,27,-1,-15
2021-08-07,ML,29,67,96,26,1,-12
2021-03-16,ML,7,25,39,-5,-9,-10
2022-06-10,ML,75,93,255,80,62,20
2021-12-01,ML,42,90,113,57,13,-11
2021-07-06,ML,42,88,98,49,5,-14
2021-08-22,MM,-63,-40,-40,-55,-47,22
2022-09-09,MM,-11,6,37,-18,10,24
2022-04-21,MM,-19,1,41,-15,-4,21
2021-10-20,NA,19,46,-9,15,11,-11
2022-08-13,NE,124,88,202,149,50,23
2021-06-08,NE,65,-9,44,44,-5,-12
2021-07-18,NE,86,-1,60,90,-13,-13
2020-10-03,NE,4,3,-6,-2,-35,-8
2022-09-05,NG,64,74,82,62,37,27
2021-05-16,NP,-64,-35,-39,-56,-58,23
2021-11-05,PA,-28,-7,-23,-48,-66,20
2022-08-05,PH,6,46,31,1,3,21
2021-05-03,PL,-60,-74,86,-57,-82,20
2021-07-31,RW,-43,-45,-1,-64,-35,34
2022-08-14,RW,96,43,239,30,45,26
2021-02-09,RW,-22,-33,2,-45,-36,24
2022-04-29,RW,77,32,242,37,33,25
2021-06-03,SG,-42,-4,-20,-39,-35,26
2021-04-02,SK,-80,-82,55,-69,-79,31
2022-05-18,TG,48,70,217,17,52,24
2022-08-18,TG,67,107,263,63,47,32
2021-02-28,TT,-2,27,3,-38,-3,-9
2022-08-21,UG,51,68,141,30,72,27
2021-08-01,UG,-36,-3,-16,-50,5,21
2021-01-14,VN,-16,0,-26,-13,12,-10
2021-09-11,VN,-69,-47,-58,-75,-61,22
2021-01-20,VN,-14,-2,-26,-11,14,-8
2020-10-07,VN,-22,-5,-26,-8,11,-8
2020-12-25,ZA,-67,-54,3,-59,-83,27
2021-11-01,ZA,6,26,9,-22,-71,24
2021-07-23,ZA,-11,19,-19,-31,-26,22
2021-06-29,ZA,-19,14,-28,-30,-23,20
2022-06-18,ZM,92,96,244,45,81,23
2022-07-09,ZM,98,102,240,47,82,24
2022-06-01,ZM,97,106,251,50,63,22
2022-05-20,ZM,84,88,235,44,67,22
2021-10-30,ZW,72,100,93,81,42,-11
2021-05-23,RO,1,16,71,-4,2,-8
2021-11-15,AG,26,18,82,-16,-12,-8
2021-10-29,AO,66,70,84,39,22,-9
2021-09-22,AW,3,8,43,-36,-3,-8
2021-05-06,AW,-2,4,36,-44,-3,-9
2021-11-10,AW,11,10,51,-27,0,-9
2021-10-30,BA,17,46,43,11,-8,-12
2021-02-26,BA,-10,9,-5,-14,-5,-9
2021-12-19,BA,6,41,29,-3,-8,-8
2021-05-11,BA,8,45,15,2,-7,-11
2020-10-04,BF,2,36,6,4,-18,-9
2022-04-21,BF,118,179,272,84,99,23
2022-04-16,BF,96,171,261,70,90,30
2022-06-15,BJ,39,115,248,-1,46,30
2022-07-01,BJ,64,172,312,16,60,22
2022-04-28,BJ,64,160,282,10,65,21
2021-12-12,BS,7,3,20,-3,-7,-14
2021-09-24,BS,-6,3,9,-26,-21,-9
2021-02-26,BS,-20,-8,6,-39,-25,-9
2021-10-03,BS,-12,1,13,-32,-23,-10
2021-08-07,BY,-18,4,43,-9,-30,-9
2021-08-14,BY,-14,7,69,-2,-29,-12
2022-08-15,CI,58,110,93,64,-29,35
2020-07-24,CL,-61,-39,-61,-62,-44,29
2020-09-10,CL,-45,-24,-46,-43,-38,20
2020-11-09,DO,-51,-31,-40,-54,-68,21
2021-05-09,EC,-72,-67,-67,-69,-40,21
2020-09-11,EC,-27,-6,-27,-36,-36,20
2021-09-10,FJ,-7,11,-14,-48,-13,24
2021-08-05,GA,23,27,110,24,-13,-12
2022-08-08,GH,56,86,65,40,32,22
2022-08-07,GH,53,91,65,37,44,22
2022-06-08,GH,51,82,55,41,27,20
2022-09-01,GH,58,95,57,41,20,24
2020-12-25,GT,-63,-53,-37,-74,-78,27
2022-07-20,HT,44,35,81,42,7,22
2022-07-16,HT,40,26,69,26,16,20
2021-07-12,IQ,61,127,45,57,-1,-8
2021-09-20,IQ,72,143,58,77,0,-9
2021-01-08,JO,-90,-80,-74,-77,-67,23
2021-09-15,KG,0,15,-3,16,-38,-10
2021-05-11,KH,-46,-35,-40,-55,-44,23
2021-05-30,LB,-2,40,53,-12,-14,-10
2022-06-29,LK,-10,23,33,14,-13,23
2021-08-21,LK,-79,-71,-51,-75,-60,38
2021-10-19,LK,-6,23,10,-25,-63,22
2022-05-06,LK,-21,14,37,-28,-33,31
2021-09-10,LK,-47,-19,-27,-55,-49,33
2021-09-12,LT,0,57,140,13,25,-9
2021-06-06,LT,-10,60,199,8,17,-14
2020-09-19,LT,-20,16,132,0,3,-8
2021-05-29,MD,-1,9,14,-10,-14,-13
2021-05-12,MD,-1,14,-8,-8,-20,-10
2021-09-17,ML,32,73,94,41,-2,-9
2022-05-02,ML,55,26,265,34,-41,37
2021-10-12,ML,39,79,98,53,3,-10
2021-06-20,ML,21,7,63,23,-12,-12
2022-03-26,ML,80,101,265,81,63,20
2022-08-27,ML,72,96,273,50,68,29
