date,location_key,search_trends_cough,search_trends_fever
2021-12-21,BO,,
2020-11-27,BO,,
2022-05-20,BO,,
2020-07-19,BO,,
2022-01-17,BO,,
2020-09-10,BO,,
2021-05-09,BO,,
2020-09-23,BQ,,
2020-07-30,BQ,,
2021-12-21,BQ,,
2021-09-06,BQ,,
2022-01-28,BQ,,
2021-11-13,BQ,,
2020-10-17,BQ,,
2020-10-09,BQ,,
2021-06-12,BS,,
2020-12-27,BS,,
2021-03-22,BS,,
2020-10-19,BS,,
2022-01-03,BS,,
2022-02-07,BS,,
2020-11-17,BS,,
2022-08-04,BS,,
2022-06-06,BS,,
2022-02-28,BS,,
2020-07-01,BT,,
2022-05-30,BT,,
2021-08-21,BT,,
2020-12-01,BT,,
2022-03-14,BT,,
2022-06-23,BT,,
2020-12-20,BT,,
2022-07-30,BT,,
2021-07-23,BV,,
2021-03-14,BV,,
2020-12-01,BV,,
2020-09-11,BV,,
2020-08-04,BV,,
2020-12-20,BW,,
2022-06-06,BW,,
2020-09-05,BW,,
2021-08-18,BW,,
2020-08-01,BW,,
2022-06-20,BW,,
2021-01-26,BW,,
2021-07-30,BW,,
2022-06-01,BW,,
2020-09-27,BY,,
2022-04-25,BY,,
2022-06-26,BY,,
2021-07-04,BY,,
2021-08-22,BY,,
2021-10-10,BY,,
2021-10-18,BY,,
2020-08-03,BY,,
2020-08-12,BZ,,
2022-07-24,BZ,,
2021-11-09,BZ,,
2020-11-23,BZ,,
2021-05-29,BZ,,
2022-08-02,BZ,,
2021-10-12,BZ,,
2021-07-05,BZ,,
2021-08-31,BZ,,
2021-10-09,BZ,,
2021-06-27,BZ,,
2021-01-12,CA,,
2022-07-08,CA,,
2021-03-26,CA,,
2020-10-06,CA,,
2021-05-10,CA,,
2022-09-05,CA,,
2022-08-02,CA,,
2021-10-30,CA,,
2022-08-04,CA,,
2021-11-27,CA,,
2021-04-12,CA,,
2020-07-27,CA,,
2020-12-23,CA,,
2021-04-25,CA,,
2020-08-01,CA,,
2021-06-11,CA,,
2020-07-04,CC,,
2022-04-03,CC,,
2021-05-05,CC,,
2022-03-09,CC,,
2020-12-02,CC,,
2020-09-03,CC,,
2021-01-12,CC,,
2021-07-10,CC,,
2020-10-11,CC,,
2022-03-25,CC,,
2022-04-09,CC,,
2022-01-26,CC,,
2021-11-03,CC,,
2021-11-18,CC,,
2021-01-17,CD,,
2021-01-25,CD,,
2021-08-05,CD,,
2022-04-03,CD,,
2022-06-03,CD,,
2022-05-23,CD,,
2022-08-26,CD,,
2022-08-27,CD,,
2020-08-13,CD,,
2020-07-13,CD,,
2022-03-30,CF,,
2020-07-15,CF,,
2021-01-07,CF,,
2021-01-19,CF,,
2021-11-29,CG,,
2022-01-09,CG,,
2021-05-14,CG,,
2021-03-22,CG,,
2022-01-21,CG,,
2020-09-09,CG,,
2021-10-07,CG,,
2021-08-28,CG,,
2021-06-14,CG,,
2022-09-03,CH,,
2020-10-22,CH,,
2020-11-27,CH,,
2022-07-13,CH,,
2022-03-28,CH,,
2022-04-19,CH,,
2022-07-03,CI,,
2022-02-01,CI,,
2020-12-12,CI,,
2021-02-27,CI,,
2021-11-15,CI,,
2021-02-23,CI,,
2022-05-20,CI,,
2020-07-28,CI,,
2022-02-18,CI,,
2021-02-13,CK,,
2021-09-10,CK,,
2022-05-03,CK,,
2020-12-03,CK,,
2020-07-24,CK,,
2021-10-13,CK,,
2021-06-04,CK,,
2022-09-17,CK,,
2022-07-22,CL,,
2021-12-18,CL,,
2022-05-11,CL,,
2021-12-06,CL,,
2021-06-14,CL,,
2021-04-23,CL,,
2020-09-12,CL,,
2022-03-12,CL,,
2022-08-12,CL,,
2021-07-21,CL,,
2022-08-16,CL,,
2021-06-02,CM,,
2021-05-19,CM,,
2021-01-21,CM,,
2022-02-18,CM,,
2020-11-01,CM,,
2021-12-16,CM,,
2021-03-01,CM,,
2022-05-30,CM,,
2021-10-12,CM,,
2020-08-15,CM,,
2021-12-26,CM,,
2020-07-11,CM,,
2021-05-28,CM,,
2020-07-12,CM,,
2021-03-09,CM,,
2021-10-01,CN,,
2020-08-15,CN,,
2020-12-20,CN,,
2022-02-23,CN,,
2022-07-20,CN,,
2022-08-19,CN,,
2020-11-03,CN,,
2021-11-25,CN,,
2021-12-01,CN,,
2022-02-26,CO,,
2022-08-18,CO,,
2022-09-13,CR,,
2021-03-24,CR,,
2022-02-12,CR,,
2021-12-09,CR,,
2020-07-17,CR,,
2021-01-22,CU,,
2020-10-30,CU,,
2021-09-09,CU,,
2021-08-04,CU,,
2022-06-30,CU,,
2021-07-27,CU,,
2021-03-20,CU,,
2020-08-10,CU,,
2022-06-07,CU,,
2022-09-07,CU,,
2021-06-04,CU,,
2021-10-04,CU,,
2021-05-31,CU,,
2022-08-07,CV,,
2021-10-22,CV,,
2020-12-13,CV,,
2021-05-27,CV,,
2021-04-15,CV,,
2021-04-25,CV,,
2022-01-16,CV,,
2020-09-04,CV,,
2021-02-17,CV,,
2020-10-10,CW,,
2021-08-09,CW,,
2021-06-21,CW,,
2020-08-16,CW,,
2020-08-24,CW,,
2022-01-04,CW,,
2022-02-27,CW,,
2020-11-09,CW,,
2021-01-26,CX,,
2022-03-14,CX,,
2022-04-10,CX,,
2021-10-26,CX,,
2022-05-25,CX,,
2021-02-24,CX,,
2022-06-25,CX,,
2021-11-07,CX,,
2021-10-22,CY,,
2022-02-08,CY,,
2021-10-13,CY,,
2022-08-19,CY,,
2020-11-12,CY,,
2021-09-26,CY,,
2022-07-20,CY,,
2020-11-17,CY,,
2020-09-25,CY,,
2021-06-04,CY,,
2022-01-09,CY,,
2021-05-25,CY,,
2020-10-19,CY,,
2021-07-19,CY,,
2020-11-14,CY,,
2022-06-08,DE,,
2021-04-21,DJ,,
2020-08-06,DJ,,
2020-08-16,DJ,,
2021-06-01,DJ,,
2020-09-20,DJ,,
2020-10-31,DJ,,
2021-11-09,DJ,,
2022-05-06,DJ,,
2021-12-31,DJ,,
2022-04-14,DJ,,
2022-08-26,DJ,,
2021-03-28,DJ,,
2021-05-09,DJ,,
2022-03-20,DJ,,
2020-11-29,DK,,
2021-05-14,DK,,
2021-09-29,DK,,
2022-01-17,DK,,
2021-04-29,DK,,
2022-05-01,DK,,
2021-05-29,DM,,
2022-06-30,DM,,
2020-12-25,DM,,
2021-06-07,DM,,
2022-09-06,DM,,
2021-10-06,DM,,
2021-12-29,DM,,
2021-12-19,DM,,
2021-11-18,DM,,
2021-07-09,DM,,
2021-01-12,DO,,
2022-04-01,DO,,
2022-05-08,DO,,
2021-10-20,DO,,
2020-10-19,DO,,
2022-07-13,DO,,
2022-07-07,DO,,
2020-10-12,DZ,,
2020-12-24,DZ,,
2021-09-01,DZ,,
2022-02-17,DZ,,
2022-07-17,DZ,,
2021-03-16,DZ,,
2021-09-21,EC,,
2022-01-30,EC,,
2020-10-02,EC,,
2021-06-16,EC,,
2021-07-31,EC,,
2022-09-15,EC,,
2020-12-11,EC,,
2022-03-12,EG,,
2021-12-02,EG,,
2022-05-23,EG,,
2022-03-25,EG,,
2021-02-20,EG,,
2022-05-08,EG,,
2020-11-30,EH,,
2021-06-25,EH,,
2021-07-04,EH,,
2021-05-19,EH,,
2021-11-14,EH,,
2022-02-28,EH,,
2022-05-19,EH,,
2022-07-31,EH,,
2021-01-06,EH,,
2021-01-10,EH,,
2021-11-22,EH,,
2022-09-08,EH,,
2022-03-25,EH,,
2022-05-09,EH,,
2021-07-17,ER,,
2021-06-17,ER,,
2020-08-25,ER,,
2021-04-02,ER,,
2022-05-26,ER,,
2021-10-21,ER,,
2021-07-31,ER,,
2020-11-22,ER,,
2022-01-07,ER,,
2021-10-04,ER,,
2020-07-09,ER,,
2022-07-06,ES,,
2022-06-16,ES,,
2022-06-01,ET,,
2022-07-23,ET,,
2022-06-04,ET,,
2022-05-06,ET,,
2021-04-05,ET,,
2021-12-08,ET,,
2022-04-05,ET,,
2021-12-01,ET,,
2021-10-15,ET,,
2022-06-30,FI,,
2022-07-13,FI,,
2022-09-17,FI,,
2020-07-29,FJ,,
2022-05-22,FJ,,
2022-02-16,FJ,,
2020-09-03,FJ,,
2022-06-25,FJ,,
2021-12-27,FJ,,
2021-07-16,FJ,,
2022-01-08,FJ,,
2020-09-17,FK,,
2022-01-05,FK,,
2021-01-28,FK,,
2020-12-02,FK,,
2021-05-26,FK,,
2021-09-08,FK,,
2021-11-03,FM,,
2022-02-06,FM,,
2022-05-01,FM,,
2021-11-17,FM,,
2020-08-04,FM,,
2022-08-05,FM,,
2021-11-09,FM,,
2020-10-15,FM,,
2022-04-14,FM,,
2020-12-20,FO,,
2020-09-17,FO,,
2020-11-15,FO,,
2022-09-05,FO,,
2022-04-10,FO,,
2021-07-02,FO,,
2021-06-07,FO,,
2021-02-12,GA,,
2021-12-08,GA,,
2021-12-29,GA,,
2021-10-09,GA,,
2020-08-04,GA,,
2020-10-05,GA,,
2020-10-31,GA,,
2021-08-23,GA,,
2022-06-11,GA,,
2022-04-21,GA,,
2020-07-21,GA,,
2020-07-19,GA,,
2022-02-15,GB,6.35,4.98
2022-08-04,GB,6.01,4.61
2020-12-13,GB,4.94,3.87
2022-02-02,GB,6.21,4.34
2022-03-19,GB,7.15,5.09
2022-08-19,GB,5.38,3.65
2022-03-09,GB,6.59,4.68
2021-07-05,GD,,
2020-08-14,GD,,
2021-08-04,GD,,
2022-01-25,GD,,
2021-08-08,GD,,
2022-06-17,GD,,
2022-02-27,GD,,
2021-01-26,GD,,
2021-07-21,GD,,
2020-12-03,GD,,
2020-09-07,GE,,
2021-08-08,GE,,
2021-05-06,GE,,
2022-05-04,GE,,
2021-09-22,GE,,
2020-09-22,GE,,
2021-06-22,GF,,
2020-07-01,GF,,
2020-11-28,GF,,
2020-12-12,GF,,
2021-09-04,GF,,
2021-02-19,GF,,
2022-06-22,GF,,
2022-07-16,GF,,
2022-07-01,GF,,
2022-05-27,GF,,
2021-10-03,GF,,
2021-06-28,GG,,
2020-12-28,GG,,
2022-08-12,GG,,
2020-10-12,GG,,
2022-03-14,GG,,
2021-04-01,GG,,
2021-06-17,GG,,
2021-05-09,GG,,
2022-03-30,GG,,
2020-10-17,GH,,
2021-08-07,GH,,
2021-11-23,GH,,
2022-07-14,GH,,
2021-08-12,GH,,
2021-02-13,GH,,
2021-06-26,GI,,
2021-08-26,GI,,
2022-05-14,GI,,
2022-02-10,GI,,
2020-11-18,GI,,
2021-11-16,GL,,
2021-07-09,GL,,
2020-08-10,GL,,
2020-10-03,GL,,
2021-01-21,GL,,
2022-02-20,GL,,
2020-09-28,GL,,
2022-04-29,GL,,
2021-03-10,GL,,
2020-12-07,GL,,
2021-07-13,GL,,
2022-06-09,GL,,
2021-08-28,GM,,
2021-10-29,GM,,
2022-08-28,GM,,
2021-05-01,GM,,
2022-05-06,GM,,
2021-02-04,GM,,
2022-09-06,GM,,
2020-08-09,GM,,
2021-04-18,GM,,
2020-08-17,GM,,
2021-12-28,GM,,
2022-06-16,GN,,
2021-05-03,GN,,
2021-02-14,GN,,
2021-07-27,GN,,
2021-04-03,GN,,
2021-10-13,GN,,
2021-10-05,GQ,,
2022-01-18,GQ,,
2021-05-06,GQ,,
2022-06-07,GQ,,
2020-12-27,GQ,,
2022-02-13,GQ,,
2022-02-23,GQ,,
2021-05-18,GQ,,
2022-04-20,GQ,,
2021-03-19,GQ,,
2021-06-04,GQ,,
2021-07-18,GR,,
2021-07-16,GR,,
2021-02-08,GR,,
2020-09-03,GR,,
2022-08-01,GR,,
2020-09-27,GR,,
2021-06-23,GR,,
2021-01-23,GR,,
2022-07-19,GR,,
2020-11-20,GR,,
2020-07-05,GR,,
2022-05-11,GR,,
2020-08-08,GR,,
2021-01-31,GR,,
2021-10-23,GR,,
2021-11-16,GS,,
2022-06-07,GS,,
2021-04-13,GS,,
2020-09-28,GS,,
2021-11-23,GS,,
2021-06-06,GS,,
2022-07-27,GS,,
2022-07-04,GS,,
2022-07-20,GS,,
2022-05-01,GS,,
2021-11-22,GT,,
2022-06-04,GT,,
2021-01-04,GT,,
2021-08-27,GT,,
2022-09-08,GT,,
2020-08-24,GT,,
2020-10-30,GT,,
2022-05-15,GT,,
2022-01-13,GT,,
2020-12-12,GT,,
2021-08-21,GT,,
2022-01-31,GU,,
2022-08-05,GU,,
2022-05-24,GU,,
2022-07-23,GU,,
2021-08-24,GU,,
2022-03-18,GU,,
2020-07-20,GU,,
2022-01-01,GU,,
2022-09-12,GW,,
2022-08-08,GW,,
2021-06-10,GW,,
2021-10-18,GW,,
2021-03-19,GW,,
2022-07-31,GW,,
2020-07-02,GW,,
2021-08-01,GW,,
2020-10-27,GW,,
2021-02-23,GW,,
2022-04-03,GW,,
2022-08-28,GW,,
2021-08-17,GY,,
2022-03-13,GY,,
2022-07-11,GY,,
2021-02-24,GY,,
2022-03-10,GY,,
2021-01-18,GY,,
2021-10-06,GY,,
2022-07-12,GY,,
2021-04-18,GY,,
2021-06-28,GY,,
2021-02-19,GY,,
2022-03-31,HK,,
2022-03-17,HM,,
2020-11-05,HM,,
2020-10-13,HM,,
2021-06-23,HM,,
2020-08-29,HM,,
2021-07-06,HM,,
2022-04-13,HN,,
2022-03-02,HN,,
2021-09-20,HN,,
2021-11-09,HN,,
2022-08-30,HN,,
2021-08-15,HN,,
2021-06-07,HN,,
2020-07-12,HN,,
2021-12-29,HN,,
2022-05-11,HN,,
2022-08-31,HR,,
2021-08-13,HR,,
2020-09-13,HR,,
2022-01-26,HR,,
2021-12-04,HR,,
2021-08-23,HR,,
2022-06-12,HT,,
2022-06-05,HT,,
2021-12-27,HT,,
2021-03-31,HT,,
2021-02-10,HT,,
2021-12-23,HT,,
2022-03-04,HT,,
2022-07-04,HT,,
2021-03-01,HT,,
2021-12-11,HT,,
2022-01-12,HT,,
2020-12-11,HU,,
2022-05-21,HU,,
2021-08-15,HU,,
2021-04-08,HU,,
2020-07-12,HU,,
2021-04-02,HU,,
2021-08-02,HU,,
2021-07-20,HU,,
2020-12-09,HU,,
2022-05-07,HU,,
2020-07-29,HU,,
2022-04-19,HU,,
2022-03-19,HU,,
2021-08-31,HU,,
2022-03-28,HU,,
2022-05-29,ID,,
2020-11-16,ID,,
2021-01-30,ID,,
2022-08-10,ID,,
2022-09-06,ID,,
2022-04-03,ID,,
2022-03-14,ID,,
2021-06-17,ID,,
2021-04-16,ID,,
2021-11-05,ID,,
2022-02-20,ID,,
2022-05-28,IE,7.38,6.72
2022-03-31,IE,9.46,6.14
2021-03-13,IE,3.01,3.38
2021-08-06,IE,4.57,4.93
2021-08-22,IE,4.37,4.51
2021-04-18,IE,4.22,4.33
2022-02-02,IE,6.62,5.38
2021-12-04,IL,,
2022-08-17,IL,,
2022-04-30,IL,,
2021-11-03,IL,,
2021-01-14,IL,,
2022-07-10,IL,,
2020-12-15,IL,,
2021-11-07,IL,,
2022-07-15,IL,,
2020-09-25,IL,,
2022-04-14,IL,,
2021-06-01,IM,,
2020-10-05,IM,,
2021-02-23,IM,,
2022-02-24,IM,,
2021-01-16,IM,,
2020-07-19,IM,,
2022-06-17,IM,,
2021-01-10,IM,,
2020-12-27,IM,,
2021-12-18,IN,,
2022-02-08,IN,,
2022-03-09,IO,,
2021-01-30,IO,,
2021-05-13,IO,,
2020-10-18,IO,,
2020-08-31,IO,,
2021-10-03,IO,,
2021-12-12,IO,,
2020-09-15,IQ,,
2021-08-05,IQ,,
2022-09-07,IQ,,
2021-02-14,IQ,,
2020-12-09,IQ,,
2020-10-12,IQ,,
2022-09-11,IQ,,
2020-07-31,IQ,,
2021-06-21,IQ,,
2020-08-08,IQ,,
2022-05-21,IQ,,
2021-11-06,IQ,,
2021-08-10,IQ,,
2021-11-27,IQ,,
2020-11-18,IR,,
2021-03-18,IR,,
2021-08-06,IR,,
2021-02-13,IR,,
2021-10-17,IR,,
2021-11-09,IR,,
2021-01-03,IR,,
2022-01-22,IR,,
2021-07-25,IR,,
2020-08-21,IR,,
2020-12-01,IR,,
2022-03-20,IR,,
2022-05-18,IR,,
2022-06-28,IR,,
2022-03-10,IS,,
2022-04-06,IS,,
2021-05-19,IS,,
2020-10-20,IS,,
2020-09-13,IS,,
2020-09-21,IS,,
2020-09-18,IS,,
2021-12-23,IS,,
2022-01-15,IS,,
2021-05-20,IS,,
2021-11-30,IS,,
2020-09-07,IS,,
2022-01-08,IS,,
2021-10-18,IS,,
2021-10-27,IT,,
2020-11-02,IT,,
2021-02-27,IT,,
2021-05-19,IT,,
2022-04-14,IT,,
2021-11-10,IT,,
2020-07-18,IT,,
2022-03-31,IT,,
2021-03-23,IT,,
2022-04-20,IT,,
2021-07-08,JE,,
2021-12-28,JE,,
2022-07-12,JE,,
2020-09-17,JE,,
2022-08-17,JE,,
2022-08-01,JE,,
2020-11-27,JE,,
2020-08-30,JE,,
2021-11-17,JM,,
2021-05-02,JM,,
2021-08-18,JM,,
2021-03-14,JM,,
2022-03-02,JM,,
2020-08-26,JM,,
2020-07-14,JM,,
2021-04-03,JM,,
2020-12-16,JM,,
2021-02-24,JM,,
